"order_id","order_date","customer_id","customer_name","city","pincode","product_id","product_name","category","quantity","price","discount","total_amount","payment_method","delivery_type","order_status","vendor_id","vendor_name","coupon_code","rating","is_returned","delivery_time_days"
"51","2025-11-24","C002289","Customer_2289","Kanpur","793143","P1034","PeanutButter_350g","Grocery","3","194","0","582","UPI","Standard","Delivered","V0115","Vendor_115","","5","N","1"
"52","2024-05-13","C000909","Customer_909","Kolkata","301843","P1037","EnergyDrink_500ml","Beverages","3","133","0","399","NetBanking","Standard","Delivered","V0092","Vendor_92","","5","N","2"
"53","2024-03-05","C001261","Customer_1261","Rajkot","730866","P1009","Rice_5kg","Grocery","3","186","0","558","Card","Express","Out for Delivery","V0010","Vendor_10","","","N","2"
"54","2024-12-07","C002003","Customer_2003","Bhopal","174273","P1005","Apple_1kg","Fruits","1","121","7","114","UPI","Standard","Delivered","V0141","Vendor_141","ZP100","","N","1"
"55","2024-07-21","C000246","Customer_246","Bengaluru","683318","P1016","RiceCooker","Appliances","1","2156","0","2156","NetBanking","Standard","Processing","V0078","Vendor_78","","","N","3"
"56","2024-08-08","C000924","Customer_924","Coimbatore","910493","P1043","OlivesJar","Grocery","2","237","0","474","COD","Standard","Delivered","V0093","Vendor_93","","5","N","1"
"57","2024-08-25","C006440","Customer_6440","Ahmedabad","567808","P1030","Pasta_500g","Grocery","1","143","0","143","Card","Standard","Delivered","V0112","Vendor_112","","","N","2"
"58","2024-08-26","C003201","Customer_3201","Asansol","","P1013","BathSoap_75g","PersonalCare","1","186","0","186","NetBanking","Standard","Processing","V0011","Vendor_11","","","N","2"
"59","2025-09-11","C002350","Customer_2350","Gurgaon","951990","P1031","TomatoKetchup_500g","Grocery","2","270","0","540","UPI","Standard","Delivered","V0091","Vendor_91","","5","N","3"
"60","2024-08-30","C004521","Customer_4521","Nellore","162728","P1002","Milk_1L","Dairy","1","165","0","165","NetBanking","Standard","Delivered","V0055","Vendor_55","","","N","4"
"61","2025-02-11","C003200","Customer_3200","Kolkata","795877","P1007","OliveOil_500ml","Grocery","1","244","46","198","UPI","Standard","Delivered","V0022","Vendor_22","FREESHIP","5","N","3"
"62","2024-04-17","C006394","Customer_6394","Tirupati","927035","P1014","Detergent_2kg","Household","1","183","0","183","NetBanking","Standard","Delivered","V0122","Vendor_122","","","N","4"
"63","2024-09-29","C001152","Customer_1152","Delhi","939850","P1011","Toothpaste_100g","PersonalCare","2","187","0","374","UPI","Standard","Delivered","V0057","Vendor_57","","","N","2"
"64","2024-07-14","C003749","Customer_3749","Jalandhar","167480","P1013","BathSoap_75g","PersonalCare","1","141","0","141","NetBanking","Standard","Delivered","V0119","Vendor_119","","5","N","2"
"65","2024-08-02","C005700","Customer_5700","Hyderabad","216367","P1009","Rice_5kg","Grocery","2","183","0","366","UPI","Standard","Processing","V0053","Vendor_53","","","N","1"
"66","2025-11-26","C006693","Customer_6693","Nagpur","211454","P1016","RiceCooker","Appliances","1","2115","250","1865","COD","Standard","Delivered","V0003","Vendor_3","ZP100","5","N","2"
"67","2025-06-17","C002390","Customer_2390","Thiruvananthapuram","378344","P1043","OlivesJar","Grocery","3","245","0","735","NetBanking","Standard","Delivered","V0016","Vendor_16","","","N","2"
"68","2025-06-24","C000475","Customer_475","Asansol","242701","P1005","Apple_1kg","Fruits","3","151","0","453","UPI","Express","Delivered","V0033","Vendor_33","","","N","1"
"69","2024-08-05","C004566","Customer_4566","Delhi","396260","P1039","InstantNoodlesPack","Snacks","2","103","0","206","Wallet","Standard","Delivered","V0143","Vendor_143","","5","N","2"
"70","2024-10-25","C003013","Customer_3013","Raipur","499156","P1041","BreadLoaf","Bakery","3","71","0","213","Card","Express","Returned","V0155","Vendor_155","","","Y","1"
"71","2024-12-11","C002371","Customer_2371","Patna","498689","P1021","FrozenFish_1kg","Frozen","3","295","0","885","UPI","Express","Delivered","V0001","Vendor_1","","4","N","1"
"72","2024-12-08","C005297","Customer_5297","Coimbatore","682461","P1006","WholeWheatAtta_5kg","Grocery","1","242","0","242","NetBanking","Standard","Delivered","V0114","Vendor_114","","","N","1"
"73","2024-11-11","C007046","Customer_7046","Pune","682418","P1047","LipBalm","PersonalCare","1","207","0","207","Wallet","Express","Delivered","V0103","Vendor_103","","5","N","1"
"74","2024-07-27","C005202","Customer_5202","Durgapur","155863","P1005","Apple_1kg","Fruits","2","152","0","304","Card","Standard","Delivered","V0200","Vendor_200","","5","N","2"
"75","2024-04-09","C003940","Customer_3940","Coimbatore","189830","P1042","Maggie_2pack","Snacks","3","64","0","192","Wallet","Express","Delivered","V0007","Vendor_7","","4","N","0"
"76","2025-03-12","C002133","Customer_2133","Meerut","770489","P1002","Milk_1L","Dairy","1","110","0","110","Card","Standard","Delivered","V0026","Vendor_26","","5","N","4"
"77","2025-03-30","C001118","Customer_1118","Gaya","238987","P1039","InstantNoodlesPack","Snacks","2","73","0","146","UPI","Standard","Returned","V0019","Vendor_19","","","Y","3"
"78","2024-07-20","C002959","Customer_2959","Kolkata","804393","P1017","MobileCharger","Electronics","1","718","0","718","COD","Standard","Delivered","V0159","Vendor_159","","5","N","2"
"79","2025-10-31","C002130","Customer_2130","Bhubaneswar","139087","P1036","Soda_330ml","Beverages","1","150","0","150","UPI","Standard","Delivered","V0085","Vendor_85","","5","N","2"
"80","2025-04-27","C002351","Customer_2351","Gwalior","238246","P1049","BabyWipes","Baby","1","282","0","282","COD","Standard","Delivered","V0024","Vendor_24","","4","N","4"
"81","2025-04-12","C006872","Customer_6872","Noida","135704","P1040","SweetsBox","Bakery","2","86","28","144","NetBanking","Express","Delivered","V0092","Vendor_92","NEWUSER50","","N","0"
"82","2024-12-03","C007725","Customer_7725","Durgapur","477527","P1012","Shampoo_200ml","PersonalCare","1","175","0","175","Card","Standard","Delivered","V0062","Vendor_62","","","N","2"
"83","2024-10-14","C007502","Customer_7502","Delhi","562067","P1027","Cereal_500g","Grocery","2","259","0","518","Card","Express","Delivered","V0138","Vendor_138","","","N","2"
"84","2024-08-18","C002185","Customer_2185","Ludhiana","786124","P1011","Toothpaste_100g","PersonalCare","1","141","0","141","NetBanking","Express","Delivered","V0007","Vendor_7","","5","N","0"
"85","2025-10-31","C001000","Customer_1000","Kolhapur","421323","P1026","Juice_1L","Beverages","1","140","0","140","COD","Standard","Delivered","V0140","Vendor_140","","5","N","4"
"86","2024-07-20","C005852","Customer_5852","Kanpur","558953","P1020","Chicken_1kg","Meat","1","282","0","282","COD","Standard","Delivered","V0087","Vendor_87","","","N","2"
"87","2024-12-28","C000186","Customer_186","Tirupati","392431","P1010","Eggs_12pc","Dairy","1","158","0","158","COD","Standard","Processing","V0110","Vendor_110","","","N","2"
"88","2025-09-04","C001737","Customer_1737","Rajkot","304713","P1003","Paneer_200g","Dairy","2","123","0","246","NetBanking","Standard","Delivered","V0040","Vendor_40","","","N","3"
"89","2024-02-10","C001394","Customer_1394","Tirupati","129924","P1004","Bananas_1kg","Fruits","1","167","0","167","Wallet","Standard","Delivered","V0115","Vendor_115","","","N","2"
"90","2025-07-26","C004738","Customer_4738","Kanpur","466482","P1026","Juice_1L","Beverages","2","109","0","218","Wallet","Standard","Cancelled","V0183","Vendor_183","","","N","2"
"91","2025-11-15","C004382","Customer_4382","Raipur","705242","P1005","Apple_1kg","Fruits","2","166","0","332","Card","Standard","Delivered","V0137","Vendor_137","","4","N","1"
"92","2024-10-12","C007585","Customer_7585","","404799","P1045","SurgicalGloves","Household","1","202","0","202","UPI","Standard","Delivered","V0165","Vendor_165","","","N","3"
"93","2025-08-03","C004304","Customer_4304","Pune","831739","P1046","FaceWash_100ml","PersonalCare","1","153","0","153","UPI","Express","Delivered","V0121","Vendor_121","","4","N","0"
"94","2024-11-21","C005041","Customer_5041","Dehradun","550196","P1022","Tea_250g","Beverages","1","130","0","130","Card","Standard","Delivered","V0110","Vendor_110","","","N","2"
"95","2024-05-01","C005391","Customer_5391","Durgapur","763757","P1007","OliveOil_500ml","Grocery","3","197","76","515","UPI","Standard","Delivered","V0165","Vendor_165","NEWUSER50","","N","2"
"96","2024-09-01","C001114","Customer_1114","Gaya","218485","P1043","OlivesJar","Grocery","1","202","0","202","Wallet","Standard","Delivered","V0181","Vendor_181","","","N","2"
"97","2025-10-04","C002157","Customer_2157","Coimbatore","786728","P1027","Cereal_500g","Grocery","1","177","0","177","Card","Standard","Cancelled","V0141","Vendor_141","","","N","2"
"98","2024-05-07","C000751","Customer_751","Delhi","168588","P1038","IceCream_500ml","Frozen","2","314","186","442","Card","Standard","Delivered","V0170","Vendor_170","FREESHIP","5","N","2"
"99","2024-01-09","C004921","Customer_4921","Pune","691904","P1030","Pasta_500g","Grocery","3","213","0","639","Card","Standard","Delivered","V0123","Vendor_123","","3","N","2"
"100","2024-07-27","C000242","Customer_242","Raipur","771562","P1019","FrozenPeas_500g","Frozen","1","303","87","216","COD","Standard","Delivered","V0138","Vendor_138","ZP100","5","N","2"
"101","2024-11-20","C006256","Customer_6256","Kolhapur","362222","P1038","IceCream_500ml","Frozen","2","353","154","552","Card","Standard","Delivered","V0150","Vendor_150","FESTIVE10","","N","1"
"102","2025-08-22","C000794","Customer_794","Rajkot","145336","P1024","BiscuitsPack","Snacks","2","89","0","178","NetBanking","Standard","Processing","V0169","Vendor_169","","","N","4"
"103","2025-04-26","C005064","Customer_5064","Chennai","862658","P1015","FloorCleaner_1L","Household","2","270","0","540","Wallet","Standard","Delivered","V0174","Vendor_174","","5","N","1"
"104","2024-08-04","C005840","Customer_5840","Pune","185322","P1049","BabyWipes","Baby","1","152","0","152","NetBanking","Express","Delivered","V0161","Vendor_161","","","N","0"
"105","2024-06-06","C006519","Customer_6519","Bhubaneswar","554914","P1032","Mayonnaise_250g","Grocery","3","230","0","690","COD","Standard","Delivered","V0107","Vendor_107","","5","N","3"
"106","2025-02-18","C006435","Customer_6435","Mangalore","605346","P1042","Maggie_2pack","Snacks","1","82","0","82","COD","Standard","Delivered","V0061","Vendor_61","","4","N","2"
"107","2025-08-21","C000837","Customer_837","Meerut","445998","P1046","FaceWash_100ml","PersonalCare","1","194","0","194","UPI","Standard","Delivered","V0037","Vendor_37","","","N","2"
"108","2025-06-03","C003023","Customer_3023","Bengaluru","655005","P1009","Rice_5kg","Grocery","1","230","0","230","Card","Express","Delivered","V0176","Vendor_176","","4","N","1"
"109","2024-05-17","C003272","Customer_3272","Jammu","861633","P1012","Shampoo_200ml","PersonalCare","1","198","0","198","Wallet","Express","Delivered","V0168","Vendor_168","","","N","0"
"110","2024-03-25","C001497","Customer_1497","Dhanbad","431055","P1032","Mayonnaise_250g","Grocery","1","212","0","212","Wallet","Standard","Delivered","V0071","Vendor_71","","","N","3"
"111","2024-02-26","C002869","Customer_2869","Durgapur","512566","P1033","SoyaChunks_500g","Grocery","2","175","0","350","NetBanking","Standard","Delivered","V0121","Vendor_121","","","N","2"
"112","2025-02-18","C003247","Customer_3247","Thiruvananthapuram","924928","P1004","Bananas_1kg","Fruits","1","200","0","200","NetBanking","Express","Delivered","V0084","Vendor_84","","","N","0"
"113","2024-08-05","C003633","Customer_3633","Varanasi","465271","P1001","Almonds_1kg","Grocery","2","138","0","276","UPI","Standard","Processing","V0094","Vendor_94","","","N","2"
"114","2025-06-22","C002625","Customer_2625","Dhanbad","199829","P1016","RiceCooker","Appliances","3","1230","0","3690","Wallet","Standard","Processing","V0122","Vendor_122","","","N","1"
"115","2025-09-16","C005976","Customer_5976","Dhanbad","699167","P1038","IceCream_500ml","Frozen","2","301","0","602","COD","Standard","Delivered","V0033","Vendor_33","","5","N","2"
"116","2024-02-21","C005353","Customer_5353","Agra","472768","P1013","BathSoap_75g","PersonalCare","1","167","0","167","NetBanking","Standard","Delivered","V0090","Vendor_90","","5","N","4"
"117","2025-02-28","C007751","Customer_7751","","359417","P1009","Rice_5kg","Grocery","1","237","0","237","COD","Express","Delivered","V0080","Vendor_80","","","N","2"
"118","2024-02-18","C005523","Customer_5523","","718830","P1023","Coffee_200g","Beverages","2","134","0","268","Card","Standard","Delivered","V0033","Vendor_33","","","N","3"
"119","2025-08-21","C004237","Customer_4237","Delhi","230520","P1039","InstantNoodlesPack","Snacks","1","108","0","108","NetBanking","Standard","Delivered","V0128","Vendor_128","","","N","2"
"120","2025-03-18","C000526","Customer_526","Kanpur","140012","P1012","Shampoo_200ml","PersonalCare","2","161","0","322","COD","Standard","Delivered","V0189","Vendor_189","","","N","4"
"121","2024-09-20","C004001","Customer_4001","Noida","441891","P1026","Juice_1L","Beverages","3","185","0","555","UPI","Standard","Processing","V0027","Vendor_27","","","N","3"
"122","2025-05-31","C001606","Customer_1606","Surat","313903","P1006","WholeWheatAtta_5kg","Grocery","3","222","0","666","UPI","Standard","Delivered","V0017","Vendor_17","","","N","3"
"123","2025-02-02","C003460","Customer_3460","Solapur","663451","P1042","Maggie_2pack","Snacks","2","62","0","124","NetBanking","Express","Delivered","V0115","Vendor_115","","4","N","1"
"124","2025-04-24","C005855","Customer_5855","Bengaluru","360435","P1027","Cereal_500g","Grocery","1","212","0","212","UPI","Standard","Delivered","V0130","Vendor_130","","4","N","2"
"125","2025-06-07","C003217","Customer_3217","Dehradun","153972","P1047","LipBalm","PersonalCare","2","180","0","360","COD","Standard","Delivered","V0156","Vendor_156","","4","N","1"
"126","2024-06-10","C001520","Customer_1520","Noida","539537","P1002","Milk_1L","Dairy","1","110","30","80","NetBanking","Standard","Delivered","V0053","Vendor_53","ZP100","5","N","3"
"127","2024-03-03","C006586","Customer_6586","Coimbatore","357865","P1021","FrozenFish_1kg","Frozen","1","334","65","269","Card","Standard","Delivered","V0058","Vendor_58","FESTIVE10","4","N","4"
"128","2025-10-28","C004378","Customer_4378","Mangalore","158224","P1003","Paneer_200g","Dairy","1","96","0","96","Wallet","Standard","Delivered","V0085","Vendor_85","","","N","2"
"129","2024-04-06","C001973","Customer_1973","Ajmer","314600","P1031","TomatoKetchup_500g","Grocery","1","131","0","131","Wallet","Standard","Delivered","V0199","Vendor_199","","","N","2"
"130","2025-03-07","C001333","Customer_1333","Kanpur","923670","P1030","Pasta_500g","Grocery","1","206","0","206","NetBanking","Standard","Delivered","V0115","Vendor_115","","","N","2"
"131","2025-05-04","C003795","Customer_3795","Vadodara","870812","P1028","Butter_200g","Dairy","1","118","0","118","COD","Standard","Delivered","V0120","Vendor_120","","","N","2"
"132","2024-11-18","C000808","Customer_808","Nellore","720337","P1021","FrozenFish_1kg","Frozen","1","233","0","233","NetBanking","Standard","Delivered","V0034","Vendor_34","","","N","1"
"133","2024-03-18","C001910","Customer_1910","Dhanbad","217222","P1004","Bananas_1kg","Fruits","1","154","0","154","Card","Standard","Delivered","V0114","Vendor_114","","","N","4"
"134","2024-02-14","C005547","Customer_5547","Nellore","847914","P1018","Mask_10pc","Household","2","279","56","502","Card","Standard","Delivered","V0134","Vendor_134","FREESHIP","","N","3"
"135","2024-06-07","C001946","Customer_1946","Ajmer","977032","P1027","Cereal_500g","Grocery","1","190","0","190","UPI","Standard","Delivered","V0095","Vendor_95","","5","N","2"
"136","2025-07-31","C003816","Customer_3816","Ajmer","715990","P1041","BreadLoaf","Bakery","2","73","0","146","Card","Express","Delivered","V0151","Vendor_151","","","N","1"
"137","2024-05-24","C001052","Customer_1052","Gurgaon","656284","P1020","Chicken_1kg","Meat","2","364","0","728","NetBanking","Standard","Delivered","V0158","Vendor_158","","5","N","2"
"138","2024-03-28","C001901","Customer_1901","Nellore","861736","P1013","BathSoap_75g","PersonalCare","3","112","0","336","COD","Standard","Delivered","V0193","Vendor_193","","5","N","2"
"139","2024-09-03","C007105","Customer_7105","Mysore","720122","P1050","Handwash_250ml","Household","1","196","0","196","Card","Standard","Delivered","V0041","Vendor_41","","","N","1"
"140","2024-09-18","C006322","Customer_6322","Chandigarh","902339","P1040","SweetsBox","Bakery","3","83","0","249","Card","Standard","Delivered","V0011","Vendor_11","","5","N","2"
"141","2024-12-02","C002847","Customer_2847","","783988","P1006","WholeWheatAtta_5kg","Grocery","3","246","0","738","Card","Express","Delivered","V0025","Vendor_25","","","N","1"
"142","2025-01-07","C004557","Customer_4557","Bhubaneswar","886709","P1004","Bananas_1kg","Fruits","1","112","0","112","Wallet","Standard","Delivered","V0107","Vendor_107","","","N","3"
"143","2025-07-04","C007299","Customer_7299","Ahmedabad","974071","P1016","RiceCooker","Appliances","1","1869","0","1869","COD","Standard","Delivered","V0149","Vendor_149","","4","N","2"
"144","2024-09-03","C003022","Customer_3022","Jammu","853636","P1026","Juice_1L","Beverages","1","180","0","180","UPI","Standard","Delivered","V0111","Vendor_111","","5","N","4"
"145","2024-12-25","C005944","Customer_5944","Gorakhpur","644788","P1011","Toothpaste_100g","PersonalCare","3","209","0","627","Wallet","Standard","Delivered","V0191","Vendor_191","","5","N","3"
"146","2024-06-07","C005506","Customer_5506","Agra","339518","P1033","SoyaChunks_500g","Grocery","1","208","0","208","Card","Express","Delivered","V0051","Vendor_51","","3","N","1"
"147","2024-04-11","C001302","Customer_1302","Bhubaneswar","664138","P1011","Toothpaste_100g","PersonalCare","2","257","57","457","NetBanking","Express","Delivered","V0078","Vendor_78","SAVE20","4","N","1"
"148","2024-01-07","C005146","Customer_5146","Lucknow","422591","P1045","SurgicalGloves","Household","2","210","0","420","UPI","Standard","Delivered","V0172","Vendor_172","","","N","2"
"149","2024-06-25","C003320","Customer_3320","Indore","418002","P1036","Soda_330ml","Beverages","1","142","0","142","Card","Standard","Delivered","V0184","Vendor_184","","","N","3"
"150","2024-12-06","C007106","Customer_7106","Chennai","268723","P1018","Mask_10pc","Household","2","221","0","442","COD","Standard","Delivered","V0039","Vendor_39","","4","N","2"
"151","2024-09-02","C005058","Customer_5058","Bhopal","","P1013","BathSoap_75g","PersonalCare","1","160","0","160","UPI","Standard","Returned","V0105","Vendor_105","","","Y","3"
"152","2025-09-20","C004202","Customer_4202","Mysore","676810","P1032","Mayonnaise_250g","Grocery","1","261","0","261","UPI","Standard","Delivered","V0019","Vendor_19","","","N","3"
"153","2024-12-10","C003573","Customer_3573","Jodhpur","403763","P1020","Chicken_1kg","Meat","1","343","0","343","UPI","Standard","Delivered","V0037","Vendor_37","","5","N","2"
"154","2025-10-12","C002172","Customer_2172","Chandigarh","710509","P1009","Rice_5kg","Grocery","2","209","0","418","NetBanking","Express","Delivered","V0078","Vendor_78","","5","N","0"
"155","2025-07-22","C000954","Customer_954","Ajmer","828099","P1032","Mayonnaise_250g","Grocery","2","173","27","319","COD","Standard","Delivered","V0092","Vendor_92","ZP100","5","N","3"
"156","2025-08-07","C007865","Customer_7865","Ajmer","910654","P1017","MobileCharger","Electronics","1","746","0","746","COD","Standard","Delivered","V0003","Vendor_3","","","N","4"
